chunk_id,playback_start_time,accumulation_time,processing_time,total_latency,gap_ms
86a728,1799838.5505095,10383,1777,12160,12281
0e5d05,1799845.7406147,18571,779,19350,2033
5736c8,1799850.3779941,18934,5054,23988,0
5a65b2,1799851.2079293,23954,863,24818,0
0e00b7,1799854.128945,27269,470,27739,381
2b4a06,1799859.106579,32208,508,32716,2238
2d883a,1799861.8481993,33188,2270,35458,0
7584d2,1799864.448589,37494,564,38058,1051
090c0b,1799869.1783357,3019,500,3520,1781
b29e60,1799873.6330824,7449,525,7974,2235
50c036,1799876.7380841,10243,836,11079,0
c298de,1799881.7237715,4520,547,5067,2406
5c1278,1799886.4288692,9239,533,9772,1711
8cf0b0,1799889.5183901,11636,1225,12862,0
e56619,1799891.5280374,12723,2148,14871,0
07e254,1799899.0515686,8291,668,8958,6084
106a40,1799904.8080223,3346,1429,4775,0
55bfd8,1799906.6781244,5667,977,6645,0
d51c31,1799915.0103853,7948,439,8387,6092
488eaa,1799919.7446255,12459,663,13121,2386
9f716e,1799923.4178534,12856,3939,16795,0
383e3a,1799925.4576843,14143,4691,18835,0
abf0e1,1799927.5545459,20371,560,20931,807
c50487,1799933.7568131,26577,557,27134,3309
bdb78b,1799937.3079207,29079,1605,30685,0
1deaa7,1799940.2526241,33184,445,33629,1155
6b05e5,1799943.4206817,36379,419,36797,512
44a3c1,1799945.5675436,38453,492,38944,230
080f6b,1799948.2284109,1047,1229,2275,0
8229e6,1799954.2221662,5781,590,6371,4585
662b22,1799959.1423277,4124,424,4548,194
1af441,1799963.9355891,8710,632,9341,2717
c1aa79,1799968.5378719,738,3620,4357,0
fa7241,1799969.3783685,4121,1077,5198,0
b42d34,1799973.8982286,9074,644,9718,2381
59cc03,1799980.5238958,4545,551,5096,2596
ffec35,1799984.42803,7501,1499,9000,0
8d98b9,1799990.3977875,5640,526,6167,2600
ccb340,1800000.6091618,15659,719,16378,7301
79f485,1800007.1580501,19896,3031,22927,0
7b8221,1800010.3883205,23753,2404,26157,0
65c02e,1800012.5278705,24584,3713,28297,0
20a44b,1800013.9577185,28009,1718,29727,0
9cdce1,1800020.1069316,6247,560,6806,3409
58f26b,1800025.1482011,11336,512,11848,2060
4523dc,1800028.2176899,12143,2774,14917,0
664ca7,1800029.5175978,14252,1965,16217,0
2036e6,1800031.4181316,15043,3074,18118,0
6806cc,1800032.7079702,16779,2629,19407,0
731768,1800034.9877596,1115,3346,4461,0
ad3366,1800036.663321,5625,512,6137,846
52261c,1800039.7084015,8256,925,9182,0
88ff5d,1800048.9044226,7434,461,7895,6786
1d5969,1800053.2640134,11651,604,12255,2406
19d8ad,1800058.4285744,12336,5083,17419,0
d1451c,1800060.158343,15750,3400,19149,0
027145,1800062.9381923,17455,4474,21929,0
0d6347,1800064.7778188,21565,2203,23769,0
1bd87c,1800067.0476336,24482,1556,26038,0
084ca4,1800072.6655787,31105,551,31656,2848
8293a9,1800075.7784481,32361,2408,34769,0
b0f38c,1800078.4793752,36910,560,37470,961
