id,reason,asr_latency_ms,post_asr_latency_ms,playback_latency_ms,total_latency_ms
2166ec,EARLY,6110.5,1598.4,1.9,7710.8
4bb07a,EARLY,9247.5,671.7,0.5,9919.7
b1c423,EARLY,4693.5,851.5,544.4,6089.3
48fbfd,EARLY,4988.6,652.1,0.6,5641.3
b3aa4b,EARLY,6740.9,735.0,0.5,7476.4
dd1072,EARLY,4939.3,677.4,925.4,6542.1
e6e189,EARLY,8846.7,978.1,0.5,9825.3
7dd716,EARLY,3814.7,736.7,2707.9,7259.3
88d049,EARLY,9366.8,642.3,0.8,10009.9
3746ac,EARLY,7886.4,864.3,1.0,8751.7
50caa4,EARLY,2682.5,466.7,6038.6,9187.9
a7d330,EARLY,6123.2,752.0,896.2,7771.4
6ca267,EARLY,3843.2,583.9,1297.9,5725.0
3048ac,EARLY,3722.9,459.9,809.4,4992.3
3d1e6a,EARLY,2037.0,619.0,298.7,2954.6
22c7c9,EARLY,6088.3,723.2,0.8,6812.3
592adc,EARLY,7776.2,814.2,0.6,8591.0
f6f0f2,EARLY,7876.0,815.7,357.3,9049.0
7cf763,EARLY,8235.1,824.2,0.9,9060.2
6c5f91,EARLY,3519.7,525.1,1309.3,5354.0
56aac0,EARLY,1953.6,531.0,2158.8,4643.5
43aa0c,EARLY,4337.7,643.9,0.4,4982.1
1cc574,EARLY,5247.4,666.0,0.8,5914.3
036e5b,EARLY,7445.0,850.9,0.4,8296.2
5a4604,EARLY,2219.5,479.2,3637.7,6336.4
8b3169,EARLY,1802.7,5337.9,0.3,7140.9
7e4279,EARLY,3635.4,2122.2,1061.3,6818.9
f917e5,EARLY,5493.3,603.0,0.7,6097.0
2a419e,EARLY,5068.9,578.5,0.9,5648.3
4892c5,EARLY,5426.4,466.8,0.6,5893.7
0cc5a4,EARLY,1114.7,508.8,1333.0,2956.4
fac57a,EARLY,1950.0,454.7,3925.8,6330.5
7661e5,EARLY,5737.5,691.1,0.4,6429.0
37750b,EARLY,4104.2,712.0,0.6,4816.8
8b2151,FINAL,0.0,944.3,3687.0,4631.3
0764a1,EARLY,2729.6,622.1,1918.7,5270.4
9ca728,EARLY,4181.4,757.0,532.6,5471.0
36ca6f,EARLY,6328.0,614.4,0.6,6943.0
e1e79d,EARLY,11396.3,910.9,0.7,12307.9
675adb,EARLY,5294.7,612.7,2288.2,8195.7
b7eee7,EARLY,2697.2,647.1,2457.9,5802.2
7e9a36,EARLY,6915.7,690.7,0.6,7607.0
12fa58,EARLY,6307.5,963.1,0.7,7271.2
66cdd9,EARLY,14758.8,891.9,0.9,15651.7
68433f,EARLY,8257.9,682.4,874.7,9815.0
be8722,EARLY,2923.5,555.7,3522.2,7001.4
51e55d,EARLY,6247.7,731.4,0.9,6980.0
e46c81,EARLY,4645.4,664.6,0.4,5310.4
9b378c,EARLY,4159.9,682.2,0.5,4842.5
c0db21,EARLY,6959.0,852.1,0.9,7812.0
040688,EARLY,5187.6,940.8,0.6,6129.0
b83540,EARLY,3965.9,689.5,0.7,4656.1
c2a4ef,EARLY,7155.5,638.6,1.0,7795.1
9a1641,EARLY,2618.2,564.5,1634.9,4817.7
500709,EARLY,5082.2,602.1,0.4,5684.8
610b81,EARLY,13461.4,1043.8,0.8,14505.9
e37754,EARLY,1091.2,512.9,6519.9,8124.1
602b08,EARLY,5251.5,754.0,3895.0,9900.6
